economy,year,social_foundation_score,ecological_ceiling_score,social_dimension_coverage,ecological_dimension_coverage,doughnut_score,green_transition_actions_score,green_expected_2030_path,green_distance_to_target
India,2008,,84.13527404240833,,0.16666666666666666,15.864725957591673,84.13527404240833,86.65831834299877,-2.523044300590442
India,2009,,83.04715705428377,,0.16666666666666666,16.952842945716228,83.04715705428377,86.3556675092261,-3.308510454942322
India,2010,,71.46946341484262,,0.16666666666666666,28.53053658515738,71.46946341484262,86.05301667545342,-14.583553260610799
India,2011,,80.63866732927598,,0.16666666666666666,19.361332670724025,80.63866732927598,85.75036584168075,-5.111698512404772
India,2012,,78.81839664598365,,0.16666666666666666,21.181603354016346,78.81839664598365,85.44771500790807,-6.629318361924419
India,2013,,78.2031618989549,,0.16666666666666666,21.796838101045097,78.2031618989549,85.14506417413541,-6.94190227518051
India,2014,,76.432299448507,,0.16666666666666666,23.567700551493004,76.432299448507,84.84241334036274,-8.410113891855744
India,2015,4.3559260386636245,39.10004000593449,0.9,1.0,16.287287112706125,46.51694016170235,84.53976250659007,-38.022822344887715
India,2016,4.409669291941996,36.22015547521644,0.9,1.0,16.77045085398043,52.00478216010774,84.23711167281739,-32.232329512709654
India,2017,4.634611764826085,39.773598343668176,0.9,1.0,16.707064064927042,46.739028122012385,83.93446083904472,-37.19543271703233
India,2018,8.665344586687338,39.936033590728805,0.9,1.0,22.813920447383616,47.580614586450814,83.63181000527206,-36.051195418821244
India,2019,10.559246988568407,42.64298562194164,0.9,1.0,24.609893972644166,51.0390222772055,83.32915917149938,-32.29013689429389
India,2020,11.104273021911215,46.505211356188234,0.9,1.0,24.37254066260474,55.52345042910169,83.02650833772671,-27.503057908625017
India,2021,14.146666627859545,49.45923323809002,0.9,0.8333333333333334,26.73917310795426,59.72418144298013,82.72385750395404,-22.999676060973904
India,2022,21.300880328380597,46.410696938618315,0.9,0.8333333333333334,33.78608191832566,52.5938258510325,82.42120667018136,-29.827380819148864
India,2023,22.71516719937125,56.43052363295461,0.9,0.6666666666666666,31.45930610274948,67.06179625204607,82.1185558364087,-15.056759584362638
India,2024,18.93158642414175,47.548574646313185,0.4,0.3333333333333333,31.51172309082355,66.60189607844573,81.81590500263603,-15.214008924190296
India,2025,57.26119158941686,,0.3,,57.26119158941686,,,
Switzerland,1970,,99.99862604832981,,0.16666666666666666,0.0013739516701889443,99.99862604832981,99.99862604832981,0.0
Switzerland,1971,,99.97759458266685,,0.16666666666666666,0.022405417333146715,99.97759458266685,99.66531561419099,0.3122789684758658
Switzerland,1972,,99.97005726315301,,0.16666666666666666,0.02994273684699067,99.97005726315301,99.33200518005215,0.6380520831008596
Switzerland,1973,,99.93108504103164,,0.16666666666666666,0.06891495896836375,99.93108504103164,98.99869474591333,0.9323902951183101
Switzerland,1974,,99.9813761942752,,0.16666666666666666,0.01862380572480049,99.9813761942752,98.66538431177449,1.315991882500711
Switzerland,1975,,100.0,,0.16666666666666666,0.0,100.0,98.33207387763566,1.6679261223643351
Switzerland,1976,,99.98913737169869,,0.16666666666666666,0.010862628301310906,99.98913737169869,97.99876344349683,1.990373928201862
Switzerland,1977,,99.98463039206167,,0.16666666666666666,0.015369607938325203,99.98463039206167,97.665453009358,2.3191773827036712
Switzerland,1978,,99.97171988440537,,0.16666666666666666,0.028280115594625954,99.97171988440537,97.33214257521917,2.6395773091862083
Switzerland,1979,,99.9859059578903,,0.16666666666666666,0.014094042109704219,99.9859059578903,96.99883214108034,2.9870738168099535
Switzerland,1980,,99.97774093254031,,0.16666666666666666,0.022259067459685866,99.97774093254031,96.6655217069415,3.3122192255988097
Switzerland,1981,,100.0,,0.16666666666666666,0.0,100.0,96.33221127280268,3.667788727197319
Switzerland,1982,,100.0,,0.16666666666666666,0.0,100.0,95.99890083866384,4.001099161336157
Switzerland,1983,,99.98295109980839,,0.16666666666666666,0.017048900191610983,99.98295109980839,95.66559040452502,4.317360695283369
Switzerland,1984,,99.9883904671408,,0.16666666666666666,0.011609532859196747,99.9883904671408,95.33227997038618,4.656110496754621
