economy,year,dpi_score,yoy_change,yoy_pct_change,trend_slope
Philippines,2017,7.882080174308304,6.883009318461882,688.9410574018332,2.1329783115393095
Philippines,2018,1.1190116591633636,-6.763068515144941,-85.80309214805008,2.1329783115393095
Philippines,2019,1.8835128510579324,0.7645011918945688,68.31932318436728,2.1329783115393095
Philippines,2020,26.914862853369073,25.03135000231114,1328.971553777906,2.1329783115393095
Philippines,2021,1.071244952722202,-25.84361790064687,-96.01987586353943,2.1329783115393095
Philippines,2022,29.73178938916328,28.660544436441075,2675.4426579663336,2.1329783115393095
Philippines,2023,0.9356435073271344,-28.796145881836143,-96.85305349408885,2.1329783115393095
Philippines,2024,0.4080699876594012,-0.5275735196677331,-56.38616797276343,2.1329783115393095
Philippines,2025,43.86545260313246,43.45738261547306,10649.492471802436,2.1329783115393095
Poland,2014,9.31804518314065,,,2.8986928718047245
Poland,2015,10.067702954542534,0.7496577714018837,8.045225759993698,2.8986928718047245
Poland,2016,12.917549487093916,2.849846532551382,28.30681979215065,2.8986928718047245
Poland,2017,14.830008960730295,1.9124594736363782,14.80512596872294,2.8986928718047245
Poland,2018,19.9732624161798,5.143253455449505,34.68139142106242,2.8986928718047245
Poland,2019,21.806697589921814,1.8334351737420143,9.179447681300166,2.8986928718047245
Poland,2020,32.755247499336114,10.9485499094143,50.207280879037285,2.8986928718047245
Poland,2021,27.347375767839686,-5.407871731496428,-16.509940068705127,2.8986928718047245
Poland,2022,31.58153753561828,4.234161767778595,15.482881442532918,2.8986928718047245
Poland,2023,35.47677851241282,3.8952409767945397,12.33391810769634,2.8986928718047245
Poland,2024,42.63694384053209,7.16016532811927,20.182681822742246,2.8986928718047245
Poland,2025,33.05985039642853,-9.57709344410356,-22.461960406738296,2.8986928718047245
Portugal,2014,8.080342750339923,,,4.2796550338670984
Portugal,2015,7.683257092982107,-0.39708565735781676,-4.914217993303714,4.2796550338670984
Portugal,2016,7.932773366921186,0.24951627393907927,3.247532536259754,4.2796550338670984
Portugal,2017,10.037089890243097,2.104316523321911,26.526870565805964,4.2796550338670984
Portugal,2018,11.916381427325684,1.8792915370825867,18.723470225263377,4.2796550338670984
Portugal,2019,12.366651715027416,0.4502702877017324,3.7785823695539733,4.2796550338670984
Portugal,2020,44.179644323811964,31.812992608784548,257.2482296895835,4.2796550338670984
Portugal,2021,11.745626741574489,-32.43401758223747,-73.4139400138995,4.2796550338670984
Portugal,2022,47.56704665966662,35.82141991809213,304.9766581743965,4.2796550338670984
Portugal,2023,15.461464699309944,-32.10558196035668,-67.49542848448455,4.2796550338670984
Portugal,2024,19.652990792536677,4.191526093226733,27.10950207333076,4.2796550338670984
Portugal,2025,84.86237771985137,65.20938692731468,331.80388479130755,4.2796550338670984
Romania,2014,4.9959543533228405,,,0.9046105849845932
Romania,2015,4.779340156779236,-0.21661419654360436,-4.335792147490958,0.9046105849845932
Romania,2016,5.129822086932841,0.35048193015360507,7.333270256072177,0.9046105849845932
Romania,2017,5.781576267536835,0.6517541806039935,12.705200483740015,0.9046105849845932
Romania,2018,7.653528538538131,1.8719522710012964,32.377887696685484,0.9046105849845932
Romania,2019,7.627220276615549,-0.02630826192258251,-0.34374029952474106,0.9046105849845932
Romania,2020,20.43374719392617,12.80652691731062,167.90555999247084,0.9046105849845932
Romania,2021,8.237389501175771,-12.196357692750398,-59.6873279139702,0.9046105849845932
Romania,2022,8.358711382207325,0.1213218810315535,1.4728195263103256,0.9046105849845932
Romania,2023,10.395806167304244,2.0370947850969188,24.370919056173626,0.9046105849845932
Romania,2024,10.484417492009763,0.08861132470551958,0.8523756914996189,0.9046105849845932
Romania,2025,18.002068657626292,7.517651165616529,71.70308862028601,0.9046105849845932
Russian Federation,2014,20.172608736786145,,,3.277891310949678
Russian Federation,2015,17.040415062022806,-3.1321936747633394,-15.526963892635107,3.277891310949678
Russian Federation,2016,18.584922581088918,1.5445075190661122,9.063790485410683,3.277891310949678
Russian Federation,2017,21.639708784015905,3.054786202926987,16.43690572074475,3.277891310949678
Russian Federation,2018,23.834761109104658,2.195052325088753,10.143631538656011,3.277891310949678
Russian Federation,2019,25.546701130442745,1.711940021338087,7.182534842709801,3.277891310949678
Russian Federation,2020,31.48266919247227,5.935968062029524,23.235751777578525,3.277891310949678
Russian Federation,2021,18.457754708346386,-13.024914484125883,-41.37169693108561,3.277891310949678
Russian Federation,2022,54.774969968672686,36.3172152603263,196.75857564573698,3.277891310949678
Russian Federation,2023,14.594696850231294,-40.18027311844139,-73.35517142487087,3.277891310949678
Russian Federation,2024,14.72056846555205,0.1258716153207562,0.8624476178740322,3.277891310949678
Russian Federation,2025,95.70041415795154,80.9798456923995,550.113576672683,3.277891310949678
Saudi Arabia,2020,41.48726652130365,,,10.794328540560716
